ID;pris;km;year;hk;kml;kmt;Groen ejerudgift;model navn;region;Koeb eller leasing;annonce;links;type
4682972;255000.0;56000.0;2017.0;150.0;17.5;8.9;1880.0;VW Touran 1,4 TSi 150 Comfortline 7prs 5d;Koebenhavn;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/14-tsi-150-comfortline-7prs-5d/4682972;TSi
4682959;270000.0;40000.0;2017.0;150.0;18.5;8.9;1280.0;VW Touran 1,4 TSi 150 Comfortline DSG 7prs 5d;Koebenhavn;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/14-tsi-150-comfortline-dsg-7prs-5d/4682959;TSi
4621980;229000.0;102000.0;2017.0;115.0;23.3;11.9;3020.0;VW Touran 1,6 TDi 115 Comfortline DSG 7prs 5d;Syd- og Soenderjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-115-comfortline-dsg-7prs-5d/4621980;TDi
4621870;284500.0;33000.0;2018.0;150.0;17.5;8.9;2380.0;VW Touran 1,4 TSi 150 Comfortline 7prs 5d;Syd- og Soenderjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/14-tsi-150-comfortline-7prs-5d/4621870;TSi
4631895;319900.0;45000.0;2018.0;150.0;21.3;9.3;4380.0;VW Touran 2,0 TDi 150 Highline DSG 7prs 5d;Syd- og Soenderjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/20-tdi-150-highline-dsg-7prs-5d/4631895;TDi
4659672;299900.0;45000.0;2017.0;150.0;21.3;9.3;3880.0;VW Touran 2,0 TDi 150 Comfortline DSG 7prs 5d;Nordjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/20-tdi-150-comfortline-dsg-7prs-5d/4659672;TDi
4621715;59900.0;255000.0;2008.0;105.0;16.7;13.2;6380.0;VW Touran 1,9 TDi 105 Conceptline 7prs 5d;Syd- og Vestsjaelland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/19-tdi-105-conceptline-7prs-5d/4621715;TDi
4689505;259800.0;86000.0;2017.0;115.0;23.3;11.9;3520.0;VW Touran 1,6 TDi 115 Comfortline DSG 7prs 5d;Syd- og Soenderjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-115-comfortline-dsg-7prs-5d/4689505;TDi
4605218;269900.0;99000.0;2017.0;150.0;21.7;9.3;3880.0;VW Touran 2,0 TDi 150 Highline 5d;Oestjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/20-tdi-150-highline-5d/4605218;TDi
4689458;256800.0;118000.0;2018.0;150.0;21.3;9.3;4380.0;VW Touran 2,0 TDi 150 Comfortline DSG 7prs 5d;Syd- og Soenderjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/20-tdi-150-comfortline-dsg-7prs-5d/4689458;TDi
4605110;234900.0;77000.0;2017.0;150.0;17.5;8.9;1880.0;VW Touran 1,4 TSi 150 Comfortline 7prs 5d;Oestjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/14-tsi-150-comfortline-7prs-5d/4605110;TSi
